x1hr,x2hr,x3hr
0.47,0.59,0.73
0.82,1.28,1.85
1.23,1.62,1.76
0.26,0.44,0.58
0.95,1.01,1.05
0.95,1.01,1.08
1.3,1.36,1.39
1.25,1.35,1.38
0.9,1.4,1.81
0.97,1.02,1.05
0.3,0.52,0.65
0.58,0.64,0.65
1,1.05,1.07
0.18,0.26,0.33
0.42,0.58,0.73
0.43,0.82,1.07
1.59,2,2.04
0.64,0.67,0.68
1.47,1.8,1.95
0.68,1.06,1.16
0.69,1.18,1.25
0.52,0.65,0.98
0.76,0.8,0.82
0.88,0.92,1.19
0.94,1.04,1.06
0.6,0.88,0.96
0.46,0.75,0.8
1.55,1.62,1.66
0.44,0.53,0.56
0.3,0.4,0.51
0.65,0.94,0.96
0.66,0.92,1.18
0.44,0.46,0.52
0.43,0.45,0.54
0.46,0.6,0.7
0.71,1,1.02
0.81,1.15,1.27
0.45,0.61,0.74
1.62,1.7,1.73
1.2,1.34,1.37
0.76,0.89,1.1
1.02,1.22,1.34
1.36,1.85,1.89
0.8,0.96,0.98
0.8,0.98,1
0.62,0.71,0.72
0.7,0.73,0.75
3.3,3.46,3.53
1.6,1.4,1.43
1.1,1.4,1.5
1.1,1.9,2.2
1.7,0.52,0.7
0.5,0.42,0.6
0.4,,