Year,x1hr,x2hr,x3hr,x6hr,x12hr,x24hr
1950,0.49,0.465,0.31,0.2283333333,0.1275,0.06375
1951,0.56,0.55,0.3666666667,0.3016666667,0.2025,0.1183333333
1954,1.06,0.995,0.6633333333,0.4533333333,0.27,0.1366666667
1955,0.36,0.43,0.2866666667,0.1966666667,0.1166666667,0.0525
1956,0.53,0.65,0.4333333333,0.4266666667,0.3333333333,0.2283333333
1957,0.43,0.415,0.2766666667,0.24,0.1366666667,0.06541666667
1958,0.64,0.7,0.4666666667,0.3916666667,0.2908333333,0.1454166667
1959,0.41,0.425,0.2833333333,0.1733333333,0.12,0.06083333333
1960,0.56,0.52,0.3466666667,0.2366666667,0.1291666667,0.06791666667
1962,0.76,0.57,0.38,0.315,0.2908333333,0.1629166667
1963,0.54,0.56,0.3733333333,0.2766666667,0.1975,0.1341666667
1965,0.4,0.375,0.25,0.1983333333,0.1383333333,0.08833333333
1966,0.89,0.555,0.37,0.3266666667,0.195,0.1016666667
1969,0.72,0.785,0.5233333333,0.4566666667,0.285,0.1458333333
1970,0.44,0.56,0.3733333333,0.34,0.1908333333,0.11
1971,0.5,0.64,0.4266666667,0.335,0.1833333333,0.09375
1974,0.86,0.675,0.45,0.295,0.1858333333,0.08416666667
1976,0.87,0.665,0.4433333333,0.24,0.1033333333,0.06041666667
1978,1.01,0.695,0.4633333333,0.2383333333,0.2033333333,0.10875
1979,0.52,0.37,0.2466666667,0.2366666667,0.1416666667,0.06708333333
1980,0.64,0.505,0.3366666667,0.27,0.2041666667,0.1241666667
1981,0.53,0.52,0.3466666667,0.23,0.1408333333,0.08208333333
1983,0.84,0.805,0.5366666667,0.365,0.1925,0.10625
1986,0.63,0.785,0.5233333333,0.41,0.2391666667,0.1108333333
1990,0.22,0.27,0.18,0.1533333333,0.1358333333,0.08166666667
1991,0.54,0.32,0.2133333333,0.185,0.1333333333,0.07833333333
1993,0.95,0.855,0.57,0.3983333333,0.2025,0.1345833333
1995,0.99,1.005,0.67,0.5033333333,0.2866666667,0.1458333333
1996,0.45,0.475,0.3166666667,0.2133333333,0.12,0.07916666667
1998,1.49,1.08,0.72,0.4233333333,0.24,0.1283333333
2000,0.68,0.47,0.3133333333,0.2133333333,0.11,0.06916666667
2001,0.49,0.66,0.44,0.3616666667,0.2108333333,0.1120833333
2003,0.55,0.635,0.4233333333,0.2716666667,0.1758333333,0.08958333333
2004,0.8,0.8,0.5333333333,0.385,0.2458333333,0.18875
2006,0.4,0.545,0.3633333333,0.2166666667,0.1225,0.07291666667
2008,0.59,0.655,0.4366666667,0.28,0.1566666667,0.07875