Normalized Water Volume,Water Level,Legend
0.000000, 0.000000, Inelastic
2.540000, 28.250351, Inelastic
5.080000, 39.983359, Inelastic
7.620000, 48.958973, Inelastic
10.160000, 56.496536, Inelastic
12.700000, 63.109206, Inelastic
15.240000, 69.061435, Inelastic
17.780000, 74.512223, Inelastic
20.320000, 79.566840, Inelastic
22.860000, 84.297069, Inelastic
25.400000, 88.757822, Inelastic
27.940000, 92.989063, Inelastic
30.480000, 97.023684, Inelastic
33.020000, 100.886327, Inelastic
35.560000, 104.599033, Inelastic
38.100000, 108.177933, Inelastic
40.640000, 111.638509, Inelastic
43.180000, 114.992707, Inelastic
45.720000, 118.250577, Inelastic
48.260000, 121.422090, Inelastic
50.800000, 124.514640, Inelastic
53.340000, 127.534813, Inelastic
55.880000, 130.489373, Inelastic
58.420000, 133.383415, Inelastic
60.960000, 136.221351, Inelastic
63.500000, 139.007738, Inelastic
66.040000, 141.746537, Inelastic
68.580000, 144.440917, Inelastic
71.120000, 147.093766, Inelastic
73.660000, 149.708128, Inelastic
76.200000, 152.286578, Inelastic
78.740000, 154.831260, Inelastic
81.280000, 157.344145, Inelastic
83.820000, 159.827148, Inelastic
86.360000, 162.282177, Inelastic
88.900000, 164.710745, Inelastic
91.440000, 167.114249, Inelastic
93.980000, 169.493980, Inelastic
96.520000, 171.851183, Inelastic
99.060000, 174.187069, Inelastic
101.600000, 176.502654, Inelastic
104.140000, 178.798889, Inelastic
106.680000, 181.076656, Inelastic
109.220000, 183.337171, Inelastic
111.760000, 185.593620, Inelastic
114.300000, 187.850781, Inelastic
116.840000, 190.107959, Inelastic
119.380000, 192.365139, Inelastic
121.920000, 194.622318, Inelastic
124.460000, 196.879497, Inelastic
127.000000, 199.136676, Inelastic
129.540000, 201.393855, Inelastic
132.080000, 203.651034, Inelastic
134.620000, 205.908213, Inelastic
137.160000, 208.165393, Inelastic
139.700000, 210.422572, Inelastic
142.240000, 212.679751, Inelastic
144.780000, 214.936930, Inelastic
147.320000, 217.194109, Inelastic
149.860000, 219.451288, Inelastic
152.400000, 221.708467, Inelastic
154.940000, 223.965647, Inelastic
157.480000, 226.222826, Inelastic
160.020000, 228.480005, Inelastic
162.560000, 230.737184, Inelastic
165.100000, 232.994363, Inelastic
167.640000, 235.251542, Inelastic
170.180000, 237.508721, Inelastic
172.720000, 239.765901, Inelastic
175.260000, 242.023080, Inelastic
177.800000, 244.280259, Inelastic
180.340000, 246.537438, Inelastic
182.880000, 248.794617, Inelastic
185.420000, 251.051796, Inelastic
187.960000, 253.308975, Inelastic
190.500000, 255.566155, Inelastic
193.040000, 257.823334, Inelastic
195.580000, 260.080513, Inelastic
198.120000, 262.337692, Inelastic
200.660000, 264.594871, Inelastic
203.200000, 266.852050, Inelastic
205.740000, 269.109229, Inelastic
208.280000, 271.366409, Inelastic
210.820000, 273.623588, Inelastic
213.360000, 275.880767, Inelastic
215.900000, 278.137946, Inelastic
218.440000, 280.395125, Inelastic
220.980000, 282.652304, Inelastic
223.520000, 284.909483, Inelastic
226.060000, 287.166663, Inelastic
228.600000, 289.423842, Inelastic
231.140000, 291.681021, Inelastic
233.680000, 293.938200, Inelastic
236.220000, 296.195379, Inelastic
238.760000, 298.452558, Inelastic
241.300000, 300.709737, Inelastic
243.840000, 302.966917, Inelastic
246.380000, 305.224096, Inelastic
248.920000, 307.481275, Inelastic
251.460000, 309.738454, Inelastic
254.000000, 311.995633, Inelastic
256.540000, 314.252812, Inelastic
259.080000, 316.509991, Inelastic
261.620000, 318.767171, Inelastic
264.160000, 321.024350, Inelastic
266.700000, 323.281529, Inelastic
269.240000, 325.538708, Inelastic
271.780000, 327.795887, Inelastic
274.320000, 330.053066, Inelastic
276.860000, 332.310245, Inelastic
279.400000, 334.567425, Inelastic
281.940000, 336.824604, Inelastic
284.480000, 339.081783, Inelastic
287.020000, 341.338962, Inelastic
289.560000, 343.596141, Inelastic
292.100000, 345.853320, Inelastic
294.640000, 348.110499, Inelastic
297.180000, 350.367679, Inelastic
299.720000, 352.624858, Inelastic
302.260000, 354.882037, Inelastic
304.800000, 357.139216, Inelastic
307.340000, 359.396395, Inelastic
309.880000, 361.653574, Inelastic
312.420000, 363.910753, Inelastic
314.960000, 366.167933, Inelastic
317.500000, 368.424959, Inelastic
320.040000, 370.680704, Inelastic
322.580000, 372.935533, Inelastic
325.120000, 375.189522, Inelastic
327.660000, 377.443189, Inelastic
330.200000, 379.696661, Inelastic
332.740000, 381.949587, Inelastic
335.280000, 384.202331, Inelastic
337.820000, 386.453667, Inelastic
340.360000, 388.703467, Inelastic
342.900000, 390.952223, Inelastic
345.440000, 393.200057, Inelastic
347.980000, 395.447381, Inelastic
350.520000, 397.694396, Inelastic
353.060000, 399.940059, Inelastic
355.600000, 402.184905, Inelastic
358.140000, 404.427635, Inelastic
360.680000, 406.668717, Inelastic
363.220000, 408.908126, Inelastic
365.760000, 411.147068, Inelastic
368.300000, 413.385360, Inelastic
370.840000, 415.622691, Inelastic
373.380000, 417.857261, Inelastic
375.920000, 420.090211, Inelastic
378.460000, 422.320918, Inelastic
381.000000, 424.550324, Inelastic
383.540000, 426.778577, Inelastic
386.080000, 429.005658, Inelastic
388.620000, 431.229252, Inelastic
391.160000, 433.450631, Inelastic
393.700000, 435.669976, Inelastic
396.240000, 437.887148, Inelastic
398.780000, 440.103806, Inelastic
401.320000, 442.318039, Inelastic
403.860000, 444.526927, Inelastic
406.400000, 446.733392, Inelastic
408.940000, 448.936761, Inelastic
411.480000, 451.136392, Inelastic
414.020000, 453.332108, Inelastic
416.560000, 455.522947, Inelastic
419.100000, 457.710103, Inelastic
421.640000, 459.893728, Inelastic
424.180000, 462.072515, Inelastic
426.720000, 464.241241, Inelastic
429.260000, 466.402410, Inelastic
431.800000, 468.557692, Inelastic
434.340000, 470.704367, Inelastic
436.880000, 472.841799, Inelastic
439.420000, 474.969789, Inelastic
441.960000, 477.080946, Inelastic
444.500000, 479.176622, Inelastic
447.040000, 481.263358, Inelastic
449.580000, 483.337371, Inelastic
452.120000, 485.396953, Inelastic
454.660000, 487.447023, Inelastic
457.200000, 489.488135, Inelastic
459.740000, 491.504900, Inelastic
462.280000, 493.502610, Inelastic
464.820000, 495.483863, Inelastic
467.360000, 497.443227, Inelastic
469.900000, 499.376169, Inelastic
472.440000, 501.292423, Inelastic
474.980000, 503.171295, Inelastic
477.520000, 505.004812, Inelastic
480.060000, 506.803641, Inelastic
482.600000, 508.550488, Inelastic
485.140000, 510.224057, Inelastic
487.680000, 511.697408, Inelastic
490.220000, 512.931291, Inelastic
492.760000, 513.999163, Inelastic
495.300000, 514.669297, Inelastic
497.840000, 514.971395, Inelastic
500.380000, 514.693023, Inelastic
502.920000, 513.324197, Inelastic
505.460000, 510.154936, Inelastic
508.000000, 501.717169, Inelastic
